[[[212 175 117]
  [212 175 117]
  [212 175 117]
  ..., 
  [178 164 168]
  [178 164 168]
  [178 164 168]]

 [[174 114  62]
  [174 114  62]
  [174 114  62]
  ..., 
  [178 164 168]
  [178 164 168]
  [178 164 168]]

 [[166  76  35]
  [167  77  36]
  [167  77  36]
  ..., 
  [178 164 168]
  [178 164 168]
  [178 164 168]]

 ..., 
 [[127 124 149]
  [131 128 153]
  [133 131 153]
  ..., 
  [116 140 162]
  [121 145 167]
  [129 153 175]]

 [[126 124 153]
  [129 128 154]
  [131 131 155]
  ..., 
  [124 151 172]
  [127 154 175]
  [133 160 181]]

 [[125 125 155]
  [127 128 156]
  [130 131 157]
  ..., 
  [132 159 180]
  [133 160 181]
  [138 165 186]]],cat
